Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-06-24,455,39933,8,1541
2020-06-25,398,40331,2,1543
2020-06-26,380,40711,6,1549
2020-06-27,450,41161,6,1555
2020-06-28,428,41589,6,1561
2020-06-29,293,41882,5,1566
2020-06-30,275,42157,5,1571
2020-07-01,374,42531,9,1580
2020-07-02,392,42923,2,1582
2020-07-03,367,43290,7,1589
2020-07-04,431,43721,12,1601
2020-07-05,401,44122,7,1608
2020-07-06,256,44378,9,1617
2020-07-07,229,44607,8,1625
2020-07-08,412,45019,9,1634
2020-07-09,449,45468,2,1636
2020-07-10,370,45838,13,1649
2020-07-11,439,46277,2,1651
2020-07-12,388,46665,8,1659
2020-07-13,280,46945,6,1665
2020-07-14,239,47184,1,1666
2020-07-15,398,47582,6,1672
2020-07-16,356,47938,8,1680
2020-07-17,344,48282,3,1683
2020-07-18,358,48640,3,1686
2020-07-19,320,48960,2,1688
2020-07-20,191,49151,5,1693
2020-07-21,162,49313,2,1695
2020-07-22,263,49576,7,1702
2020-07-23,256,49832,4,1706
2020-07-24,262,50094,3,1709
2020-07-25,334,50428,7,1716
2020-07-26,299,50727,4,1720
2020-07-27,186,50913,1,1721
2020-07-28,107,51020,3,1724
2020-07-29,224,51244,3,1727
2020-07-30,222,51466,3,1730
2020-07-31,242,51708,2,1732
2020-08-01,258,51966,7,1739
2020-08-02,263,52229,2,1741
2020-08-03,136,52365,1,1742
2020-08-04,100,52465,0,1742
2020-08-05,195,52660,1,1743
2020-08-06,255,52915,1,1744
2020-08-07,253,53168,3,1747
2020-08-08,266,53434,3,1750
2020-08-09,254,53688,4,1754
2020-08-10,142,53830,6,1760
2020-08-11,117,53947,4,1764
2020-08-12,206,54153,1,1765
2020-08-13,277,54430,3,1768
2020-08-14,324,54754,6,1774
2020-08-15,239,54993,2,1776
2020-08-16,304,55297,3,1779
2020-08-17,149,55446,3,1782
2020-08-18,103,55549,1,1783
2020-08-19,285,55834,5,1788
2020-08-20,241,56075,2,1790
2020-08-21,289,56364,4,1794
2020-08-22,258,56622,3,1797
2020-08-23,210,56832,2,1799
2020-08-24,136,56968,2,1801
2020-08-25,119,57087,5,1806
2020-08-26,255,57342,4,1810
2020-08-27,326,57668,2,1812
2020-08-28,429,58097,2,1814
2020-08-29,468,58565,6,1820
2020-08-30,358,58923,3,1823
2020-08-31,279,59202,1,1824
2020-09-01,206,59408,3,1827
2020-09-02,292,59700,3,1830
2020-09-03,352,60052,3,1833
2020-09-04,380,60432,2,1835
2020-09-05,471,60903,4,1839
2020-09-06,491,61394,5,1844
2020-09-07,309,61703,2,1846
2020-09-08,264,61967,3,1849
2020-09-09,481,62448,3,1852
2020-09-10,547,62995,4,1856
2020-09-11,593,63588,2,1858
2020-09-12,659,64247,3,1861
2020-09-13,574,64821,5,1866
2020-09-14,507,65328,7,1873
2020-09-15,468,65796,4,1877
2020-09-16,656,66452,4,1881
2020-09-17,607,67059,3,1884
2020-09-18,630,67689,10,1894
2020-09-19,801,68490,6,1900
2020-09-20,860,69350,5,1905
2020-09-21,501,69851,13,1918
2020-09-22,474,70325,8,1926
2020-09-23,638,70963,5,1931
2020-09-24,752,71715,3,1934
2020-09-25,720,72435,3,1937
2020-09-26,856,73291,5,1942
2020-09-27,846,74137,8,1950
2020-09-28,538,74675,9,1959
2020-09-29,465,75140,4,1963
2020-09-30,650,75790,6,1969
2020-10-01,801,76591,9,1978
2020-10-02,769,77360,5,1983
2020-10-03,787,78147,6,1989
2020-10-04,991,79138,12,2001
2020-10-05,787,79925,12,2013
2020-10-06,611,80536,11,2024
2020-10-07,478,81014,14,2038
2020-10-08,922,81936,9,2047
2020-10-09,1042,82978,11,2058
2020-10-10,1424,84402,12,2070
2020-10-11,1561,85963,5,2075
2020-10-12,960,86923,16,2091
2020-10-13,1121,88044,14,2105
2020-10-14,1404,89448,16,2121
2020-10-15,1937,91385,9,2130
2020-10-16,2022,93407,11,2141
2020-10-17,2266,95673,20,2161
2020-10-18,2037,97710,13,2174
2020-10-19,1702,99412,19,2193
2020-10-20,1603,101015,17,2210
2020-10-21,1997,103012,16,2226
2020-10-22,2391,105403,15,2241
2020-10-23,2901,108304,17,2258
2020-10-24,2704,111008,30,2288
2020-10-25,3238,114246,19,2307
2020-10-26,2216,116462,19,2326
2020-10-27,2051,118513,30,2356
2020-10-28,3029,121542,26,2382
2020-10-29,3465,125007,26,2408
2020-10-30,3926,128933,31,2439
2020-10-31,4103,133036,40,2479
2020-11-01,3729,136765,39,2518
2020-11-02,2789,139554,36,2554
2020-11-03,2257,141811,47,2601
2020-11-04,2813,144624,48,2649
2020-11-05,7611,152235,62,2711
2020-11-06,4980,157215,45,2756
2020-11-07,4819,162034,54,2810
2020-11-08,4995,167029,55,2865
2020-11-09,3760,170789,52,2917
2020-11-10,3262,174051,61,2978
2020-11-11,4202,178253,63,3041
2020-11-12,4742,182995,80,3121
2020-11-13,5197,188192,81,3202
2020-11-14,5911,194103,69,3271
2020-11-15,5996,200099,60,3331
2020-11-16,5111,205210,79,3410
2020-11-17,3539,208749,95,3505
2020-11-18,4877,213626,73,3578
2020-11-19,5302,218928,73,3651
2020-11-20,6297,225225,74,3725
2020-11-21,6003,231228,55,3780
2020-11-22,6144,237372,61,3841
2020-11-23,4714,242086,69,3910
2020-11-24,3574,245660,75,3985
2020-11-25,4097,249757,87,4072
2020-11-26,5292,255049,69,4141
2020-11-27,5711,260760,79,4220
2020-11-28,5192,265952,71,4291
2020-11-29,4582,270534,81,4372
2020-11-30,4039,274573,65,4437
2020-12-01,4475,279048,80,4517
2020-12-02,3257,282305,70,4587
2020-12-03,2980,285285,69,4656
2020-12-04,4051,289336,74,4730
2020-12-05,4654,293990,80,4810
2020-12-06,5050,299040,75,4885
2020-12-07,3757,302797,84,4969
2020-12-08,2772,305569,82,5051
2020-12-09,3712,309281,73,5124
2020-12-10,3667,312948,74,5198
2020-12-11,3515,316463,87,5285
2020-12-12,4775,321238,99,5384
2020-12-13,4501,325739,85,5469
2020-12-14,3778,329517,103,5572
2020-12-15,2097,331614,88,5660
2020-12-16,3291,334905,84,5744
2020-12-17,4744,339649,86,5830
2020-12-18,4396,344045,78,5908
2020-12-19,4402,348447,74,5982
2020-12-20,4090,352537,88,6070
2020-12-21,3106,355643,68,6138
2020-12-22,2183,357826,65,6203
2020-12-23,3125,360951,64,6267
2020-12-24,4441,365392,85,6352
2020-12-25,4064,369456,70,6422
2020-12-26,3585,373041,68,6490
2020-12-27,1281,374322,78,6568
2020-12-28,1717,376039,64,6632
2020-12-29,1897,377936,61,6693
2020-12-30,3626,381562,72,6765
2020-12-31,5491,387053,75,6840
